# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Standard Edition
# File: E:\xilinx_cmp_arch\RISC_V\Altera_RISC_V_UDP\RISC_V_fpga_pin.csv
# Generated on: Wed Apr 17 08:26:04 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,I/O Standard,Reserved,Current Strength,Strict Preservation,Weak Pull-Up Resistor,Special Function,VREF Group,Slew Rate,Output Termination,Differential Pair
FPGA_GCLK1,Unknown,PIN_E1,1,3.3-V LVCMOS,,,,,"CLK1, DIFFCLK_0n",B1_N0,,,
rst,Unknown,PIN_E16,6,3.3-V LVCMOS,,,,,"CLK5, DIFFCLK_2n",B6_N0,,,
E_RESET,Unknown,PIN_D14,7,3.3-V LVCMOS,,,,,DIFFIO_T21p,B7_N0,,,
E_TXC,Unknown,PIN_D11,7,3.3-V LVCMOS,,maximum current,,,DIFFIO_T20n,B7_N0,,,
E_RXC,Unknown,PIN_A13,7,3.3-V LVCMOS,,,,,DIFFIO_T19n,B7_N0,,,
E_TXEN,Unknown,PIN_C14,7,3.3-V LVCMOS,,maximum current,,,DIFFIO_T21n,B7_N0,,,
E_TXD[0],Unknown,PIN_C11,7,3.3-V LVCMOS,,maximum current,,,VREFB7N0,B7_N0,,,
E_TXD[1],Unknown,PIN_B12,7,3.3-V LVCMOS,,maximum current,,,DIFFIO_T18p,B7_N0,,,
E_TXD[2],Unknown,PIN_A12,7,3.3-V LVCMOS,,maximum current,,,DIFFIO_T18n,B7_N0,,,
E_TXD[3],Unknown,PIN_B11,7,3.3-V LVCMOS,,maximum current,,,DIFFIO_T17p,B7_N0,,,
E_RXDV,Unknown,PIN_A15,7,3.3-V LVCMOS,,,,,DIFFIO_T15p,B7_N0,,,
E_RXD[0],Unknown,PIN_E10,7,3.3-V LVCMOS,,,,,RDN4,B7_N0,,,
E_RXD[1],Unknown,PIN_B14,7,3.3-V LVCMOS,,,,,PLL2_CLKOUTp,B7_N0,,,
E_RXD[2],Unknown,PIN_A14,7,3.3-V LVCMOS,,,,,PLL2_CLKOUTn,B7_N0,,,
E_RXD[3],Unknown,PIN_B13,7,3.3-V LVCMOS,,,,,DIFFIO_T19p,B7_N0,,,
E_RXER,Unknown,PIN_F11,7,,,,,,DIFFIO_T15n,B7_N0,,,
